link_rate,fail_percent,latency,throughput
0.002,0.197531,31.4753,0.00134715
0.004,0.26087,53.8804,0.00141299
0.006,0.170886,97.7247,0.00393
0.008,0.181452,150.355,0.00406
0.01,0.245536,139.888,0.004225
0.012,0.27933,149.508,0.00387
