link_rate,fail_percent,latency,throughput
0.002,0,23.7914,0.00193782
0.004,0,29.933,0.00387532
0.006,0,33.3734,0.005745
0.008,0,38.7653,0.0075
0.01,0,42.7298,0.008975
0.012,0,46.4104,0.01038
0.014,0,52.0059,0.0119
0.016,0,54.8266,0.01292
0.018,0,57.411,0.013905
0.02,0,62.6041,0.01465
0.022,0,61.6107,0.0154
0.024,0,61.717,0.0159
0.026,0,60.1779,0.016445
0.028,0,66.6667,0.01659
0.03,0,66.0267,0.016875
0.032,0,67.3005,0.01624
