link_rate,fail_percent,latency,throughput
0.002,0,26.8387,0.00192746
0.004,0,36.6804,0.00302338
0.006,0,50.4767,0.005475
0.008,0,60.6029,0.0068
0.01,0,70.8909,0.008475
0.012,0,88.6107,0.0084
