link_rate,fail_percent,latency,throughput
0.002,0,24.5106,0.00194819
0.004,0,31.6021,0.00386494
0.006,0,37.8965,0.005505
0.008,0,43.623,0.00732
0.01,0,51.5183,0.008875
0.012,0,53.5714,0.0105
0.014,0,61.5928,0.010745
0.016,0,67.8447,0.01236
0.018,0,75.2454,0.012285
